ScanNumber	ScanTime	ScanType
1258	0.3287704	2
1259	0.3289953	2
1260	0.3292027	2
1261	0.3294025	2
1262	0.3296273	2
1263	0.3298747	2
1264	0.3300995	2
1265	0.3303007	2
1266	0.3305255	2
1267	0.3307252	2
1268	0.3309499	2
1269	0.3311505	2
1270	0.3313753	2
1271	0.3316039	2
1272	0.331804	2
1273	0.3320061	2
1274	0.3322143	2
1275	0.3324145	2
1276	0.3326143	2
1277	0.3328395	2
1278	0.3330868	2
1279	0.3332868	2
1280	0.3335115	2
1281	0.3337152	2
1282	0.3339149	2
1283	0.3342249	1
1284	0.3361807	2
1285	0.3363804	2
1286	0.3365879	2
1287	0.3368125	2
1288	0.3370373	2
1289	0.3372621	2
1290	0.3374871	2
1291	0.3377108	2
1292	0.3379355	2
1293	0.3381603	2
1294	0.3384077	2
1295	0.3386076	2
1296	0.3388363	2
1297	0.3390361	2
1298	0.3392361	2
1299	0.3394395	2
1300	0.3396649	2
1301	0.3398897	2
1302	0.3400897	2
1303	0.3403145	2
1304	0.3405403	2
1305	0.3407721	2
1306	0.3409973	2
1307	0.3411971	2
1308	0.341422	2
1309	0.3416467	2
1310	0.3418716	2
1311	0.3420713	2
1312	0.3422963	2
1313	0.3425377	2
1314	0.3427624	2
1315	0.3429873	2
1316	0.3431869	2
1317	0.3433871	2
1318	0.3435869	2
1319	0.3437869	2
1320	0.3439943	2
1321	0.3441944	2
1322	0.3444193	2
1323	0.3446267	2
1324	0.3449369	1
1325	0.3468925	2
1326	0.3470923	2
1327	0.3472919	2
1328	0.3475167	2
1329	0.3477176	2
1330	0.3479175	2
1331	0.3481424	2
1332	0.3483424	2
1333	0.3485421	2
1334	0.348742	2
1335	0.3489419	2
1336	0.349142	2
1337	0.3493893	2
1338	0.3496144	2
1339	0.3498392	2
1340	0.350064	2
1341	0.3502888	2
1342	0.3504887	2
1343	0.3506885	2
1344	0.3509136	2
1345	0.3511381	2
1346	0.3513629	2
1347	0.3515629	2
1348	0.3517877	2
1349	0.3519876	2
1350	0.3522133	2
1351	0.3524132	2
1352	0.3526379	2
1353	0.3528852	2
1354	0.3530852	2
1355	0.3532899	2
1356	0.3534896	2
1357	0.3536893	2
1358	0.3538891	2
1359	0.3541139	2
1360	0.3543388	2
1361	0.3545388	2
1362	0.3548479	1
